"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 24 23:50:20 KST 2020","Tue Nov 24 23:50:29 KST 2020","9300","","","","","","사용자 상세 페이지에서 2단계 설정 필요없고, 활성화 상태인 사용자의 [더보기] 메뉴를 확인한다",""
"passed","Tue Nov 24 21:32:53 KST 2020","Tue Nov 24 21:33:03 KST 2020","9914","","","","","","사용자 목록 페이지에서 [활성] 상태인 사용자의 [상태]를 확인한다",""
"passed","Wed Nov 25 00:26:44 KST 2020","Wed Nov 25 00:27:03 KST 2020","18700","","","","","","생성한 그룹 상세 페이지에서 그룹의 [설명]을 확인한다",""
"passed","Tue Nov 24 21:27:27 KST 2020","Tue Nov 24 21:27:35 KST 2020","8208","","","","","","사용자 목록 페이지에서 [사용자 추가]팝업을 취소한다",""
"passed","Tue Nov 24 22:01:32 KST 2020","Tue Nov 24 22:01:40 KST 2020","8168","","","","","","[그룹 추가]팝업에서 아이디를 중복 입력하고 그룹 [추가]를 시도한다",""
"passed","Tue Nov 24 23:53:07 KST 2020","Tue Nov 24 23:53:16 KST 2020","8910","","","","","","사용자 상세 페이지에서 [부서]를 변경하고 [저장]한다",""
"passed","Tue Nov 24 22:06:13 KST 2020","Tue Nov 24 22:06:21 KST 2020","7881","","","","","","그룹 목록 페이지에서 [그룹 이름]을 부분 입력하고 [검색]한다",""
"passed","Tue Nov 24 23:51:15 KST 2020","Tue Nov 24 23:51:25 KST 2020","9302","","","","","","사용자 상세 페이지에서 [성]을 변경하고 [저장]한다",""
"passed","Tue Nov 24 21:22:24 KST 2020","Tue Nov 24 21:22:31 KST 2020","7808","","","","","","메가존 어드민 페이지에서 프로필 메뉴를 확인한다",""
"passed","Wed Nov 25 00:28:10 KST 2020","Wed Nov 25 00:28:19 KST 2020","9500","","","","","","그룹 상세 페이지에서 [아이디]를 부분 입력하고 사용자를 [검색]한다",""
"passed","Wed Nov 25 00:36:36 KST 2020","Wed Nov 25 00:36:55 KST 2020","19765","","","","","","[그룹 삭제]팝업에서 그룹을 [삭제]한다",""
"passed","Tue Nov 24 23:51:58 KST 2020","Tue Nov 24 23:52:08 KST 2020","9952","","","","","","사용자 상세 페이지에서 [이름]을 변경하고 [저장]한다",""
"passed","Tue Nov 24 21:32:40 KST 2020","Tue Nov 24 21:32:53 KST 2020","13186","","","","","","사용자 목록 페이지에서 [대기] 상태인 사용자의 [상태]를 확인한다",""
"passed","Tue Nov 24 23:48:58 KST 2020","Tue Nov 24 23:49:07 KST 2020","9073","","","","","","사용자 상세 페이지에서 프로필 이미지에 유효한 파일을 업로드 한다",""
"passed","Tue Nov 24 21:25:49 KST 2020","Tue Nov 24 21:25:58 KST 2020","9015","","","","","","[사용자 추가]팝업에서 이름을 입력하지 않고 사용자 [추가]를 시도한다",""
"passed","Wed Nov 25 00:30:14 KST 2020","Wed Nov 25 00:30:26 KST 2020","11989","","","","","","[그룹 사용자 추가]팝업에서 [이름]을 전체 입력하고 사용자를 [검색]한다",""
"passed","Wed Nov 25 00:26:31 KST 2020","Wed Nov 25 00:26:44 KST 2020","13119","","","","","","생성한 그룹 상세 페이지에서 그룹의 [이름]을 변경하고 [저장]한다",""
"passed","Tue Nov 24 22:05:57 KST 2020","Tue Nov 24 22:06:05 KST 2020","8001","","","","","","그룹 목록 페이지에서 그룹 목록 출력요소를 확인한다",""
"passed","Tue Nov 24 21:33:03 KST 2020","Tue Nov 24 21:33:12 KST 2020","9636","","","","","","사용자 목록 페이지에서 [비활성] 상태인 사용자의 [상태]를 확인한다",""
"passed","Wed Nov 25 00:27:46 KST 2020","Wed Nov 25 00:27:56 KST 2020","10275","","","","","","그룹 상세 페이지에서 [유효하지 않은 텍스트]를 입력하고 사용자를 [검색]한다",""
"passed","Tue Nov 24 21:31:27 KST 2020","Tue Nov 24 21:31:42 KST 2020","14319","","","","","","사용자 페이지에서 [아이디]를 전체 [검색]한다",""
"passed","Tue Nov 24 23:43:45 KST 2020","Tue Nov 24 23:43:55 KST 2020","10541","","","","","","사용자 상세 페이지에서 타이틀 [아이디]를 확인한다",""
"passed","Tue Nov 24 21:31:58 KST 2020","Tue Nov 24 21:32:07 KST 2020","9179","","","","","","사용자 목록 페이지에서 사용자의 [이름]을 확인한다",""
"passed","Tue Nov 24 21:35:19 KST 2020","Tue Nov 24 21:35:28 KST 2020","8595","","","","","","사용자 목록 페이지에서 [MFA 인증하고, 활성화 상태인 사용자]의 [2단계 인증 해제]한다",""
"passed","Tue Nov 24 22:01:06 KST 2020","Tue Nov 24 22:01:14 KST 2020","7831","","","","","","그룹 목록 페이지에서 [그룹 추가]팝업으로 이동한다",""
"passed","Tue Nov 24 23:44:56 KST 2020","Tue Nov 24 23:45:09 KST 2020","12712","","","","","","사용자 상세 페이지에서 [계정활성화 메일 재전송]팝업으로 이동한다",""
"passed","Wed Nov 25 00:29:55 KST 2020","Wed Nov 25 00:30:04 KST 2020","9078","","","","","","[그룹 사용자 추가]팝업에서 [이름]을 부분 입력하고 사용자를 [검색]한다",""
"passed","Wed Nov 25 00:36:12 KST 2020","Wed Nov 25 00:36:24 KST 2020","11169","","","","","","[그룹 삭제]팝업의 출력요소를 확인한다",""
"passed","Tue Nov 24 21:26:12 KST 2020","Tue Nov 24 21:26:20 KST 2020","8060","","","","","","[사용자 추가]팝업에서 아이디를 형식에 맞지 않게 입력한다",""
"passed","Tue Nov 24 21:22:17 KST 2020","Tue Nov 24 21:22:24 KST 2020","6624","","","","","","메가존 어드민 페이지로 이동한다",""
"passed","Tue Nov 24 23:44:04 KST 2020","Tue Nov 24 23:44:13 KST 2020","8778","","","","","","사용자 상세 페이지에서 대기 상태인 사용자의 삭제 팝업으로 이동한다",""
"passed","Tue Nov 24 21:22:59 KST 2020","Tue Nov 24 21:23:09 KST 2020","10022","","","","","","메가존 어드민 페이지에서 사용자 정의 필드 페이지로 이동한다",""
"passed","Wed Nov 25 00:26:20 KST 2020","Wed Nov 25 00:26:31 KST 2020","10905","","","","","","생성한 그룹 상세 페이지에서 그룹의 [이름]을 중복 입력하고 [저장]을 시도한다",""
"passed","Wed Nov 25 00:29:02 KST 2020","Wed Nov 25 00:29:16 KST 2020","14276","","","","","","[그룹 사용자 추가]팝업에서 출력요소를 확인한다",""
"passed","Tue Nov 24 21:22:32 KST 2020","Tue Nov 24 21:22:41 KST 2020","9434","","","","","","메가존 어드민 페이지에서 로그아웃한다",""
"passed","Tue Nov 24 21:33:12 KST 2020","Tue Nov 24 21:33:22 KST 2020","9307","","","","","","사용자 목록 페이지에서 [대기] 상태인 사용자의 [더보기] 메뉴를 확인한다",""
"passed","Tue Nov 24 22:06:55 KST 2020","Tue Nov 24 22:07:03 KST 2020","7885","","","","","","그룹 목록 페이지에서 설명이 있는 그룹의 [설명]을 확인한다",""
"passed","Tue Nov 24 21:34:49 KST 2020","Tue Nov 24 21:34:58 KST 2020","8995","","","","","","사용자 목록 페이지에서 2단계 인증 해제 팝업으로 이동한다",""
"passed","Tue Nov 24 21:33:28 KST 2020","Tue Nov 24 21:33:36 KST 2020","8350","","","","","","사용자 목록 페이지에서 [2단계 설정 필요없고, 활성]상태인 사용자의 [더보기]메뉴를 확인한다",""
"passed","Tue Nov 24 21:25:08 KST 2020","Tue Nov 24 21:25:17 KST 2020","8678","","","","","","[사용자 추가]팝업에서 프로필 이미지 변경 메뉴를 확인한다",""
"passed","Tue Nov 24 23:54:29 KST 2020","Tue Nov 24 23:54:40 KST 2020","10091","","","","","","사용자 상세 페이지에서 [생성한 그룹]을 확인한다",""
"passed","Tue Nov 24 23:44:47 KST 2020","Tue Nov 24 23:44:56 KST 2020","9328","","","","","","[사용자 삭제]팝업에서 사용자를 [삭제]한다",""
"passed","Tue Nov 24 21:34:17 KST 2020","Tue Nov 24 21:34:26 KST 2020","8839","","","","","","사용자 목록 페이지에서 계정활성화 메일 재전송 팝업의 출력요소를 확인한다",""
"passed","Wed Nov 25 00:31:46 KST 2020","Wed Nov 25 00:31:58 KST 2020","11525","","","","","","[그룹 사용자 추가]팝업에서 선택한 사용자를 [삭제]한다",""
"passed","Tue Nov 24 23:50:29 KST 2020","Tue Nov 24 23:50:41 KST 2020","11481","","","","","","사용자 상세 페이지에서 비활성 상태인 사용자를 [활성]상태로 변경한다",""
"passed","Tue Nov 24 21:36:29 KST 2020","Tue Nov 24 21:36:38 KST 2020","8898","","","","","","사용자 목록 페이지에서 [숫자]로 페이지를 이동한다",""
"passed","Tue Nov 24 23:43:36 KST 2020","Tue Nov 24 23:43:45 KST 2020","8445","","","","","","사용자 상세 페이지에서 [Breadcrumb]을 확인한다",""
"passed","Tue Nov 24 23:54:18 KST 2020","Tue Nov 24 23:54:29 KST 2020","10918","","","","","","사용자 상세 페이지에서 [기본 그룹]의 사용자 목록으로 이동한다",""
"passed","Tue Nov 24 21:34:58 KST 2020","Tue Nov 24 21:35:11 KST 2020","13247","","","","","","사용자 목록 페이지에서 2단계 인증 해제 팝업의 출력요소를 확인한다",""
"passed","Wed Nov 25 00:25:54 KST 2020","Wed Nov 25 00:26:09 KST 2020","14674","","","","","","생성한 그룹 상세 페이지에서 기본 그룹의 [이름]을 확인한다",""
"passed","Tue Nov 24 21:26:38 KST 2020","Tue Nov 24 21:26:47 KST 2020","9384","","","","","","[사용자 추가]팝업에서 아이디를 중복 입력하고 사용자 [추가]를 시도한다",""
"passed","Wed Nov 25 00:34:45 KST 2020","Wed Nov 25 00:35:03 KST 2020","18298","","","","","","그룹 상세 페이지에서 [그룹 사용자 삭제]팝업으로 이동한다",""
"passed","Tue Nov 24 21:24:47 KST 2020","Tue Nov 24 21:25:00 KST 2020","12392","","","","","","[사용자 추가]팝업에서 프로필 이미지에 [유효하지 않은 확장자의 파일]을 업로드 시도한다",""
"passed","Wed Nov 25 00:28:19 KST 2020","Wed Nov 25 00:28:30 KST 2020","10517","","","","","","그룹 상세 페이지에서 [이름]을 전체 입력하고 사용자를 [검색]한다",""
"passed","Wed Nov 25 00:24:38 KST 2020","Wed Nov 25 00:24:46 KST 2020","8501","","","","","","그룹 상세 페이지에로 이동한다",""
"passed","Wed Nov 25 00:29:27 KST 2020","Wed Nov 25 00:29:39 KST 2020","11679","","","","","","그룹 상세 페이지에서 프로필 이미지를 미등록한 사용자의 프로필 이미지를 확인한다",""
"passed","Tue Nov 24 22:01:50 KST 2020","Tue Nov 24 22:02:08 KST 2020","17819","","","","","","[그룹 추가]팝업에서 [그룹 이름/설명]을 모두 입력하고 그룹을 [추가]한다",""
"passed","Tue Nov 24 23:52:31 KST 2020","Tue Nov 24 23:52:41 KST 2020","9945","","","","","","사용자 상세 페이지에서 사용자 [부서]를 확인한다",""
"passed","Tue Nov 24 23:48:31 KST 2020","Tue Nov 24 23:48:58 KST 2020","27485","","","","","","사용자 상세 페이지에서 프로필 이미지 변경 메뉴를 확인한다",""
"passed","Wed Nov 25 00:27:25 KST 2020","Wed Nov 25 00:27:46 KST 2020","20779","","","","","","생성한 그룹 상세 페이지에서 그룹의 [설명]을 변경하고 [저장]한다",""
"passed","Tue Nov 24 21:32:31 KST 2020","Tue Nov 24 21:32:40 KST 2020","8414","","","","","","사용자 페이지에서 [로그인 이력있는 사용자]의 [최근 로그인 날짜]를 확인한다",""
"passed","Tue Nov 24 23:53:16 KST 2020","Tue Nov 24 23:53:29 KST 2020","13456","","","","","","사용자 상세 페이지에서 사용자의 [전화번호]를 확인한다",""
"passed","Tue Nov 24 23:44:22 KST 2020","Tue Nov 24 23:44:37 KST 2020","14933","","","","","","[사용자 삭제]팝업에서 사용자 삭제를 [취소]한다",""
"passed","Tue Nov 24 23:46:18 KST 2020","Tue Nov 24 23:46:27 KST 2020","8900","","","","","","사용자 상세 페이지에서 2단계 인증 해제 팝업의 출력요소를 확인한다",""
"passed","Tue Nov 24 21:24:32 KST 2020","Tue Nov 24 21:24:40 KST 2020","7649","","","","","","사용자 목록 페이지에서 [사용자 추가]팝업으로 이동한다",""
